datasheet_id|option_line|choice_index|group_id|action|weapon_name|model_target|count_per_n_models|max_count
000000882|1|0|0|replace|sentinel blade|any||
000000882|1|0|0|add|praesidium shield|any||
000000882|1|0|0|remove|guardian spear|any||
000000882|2|0|1|replace|vexilla|1 model|1|1
000000882|2|0|1|add|misericordia|1 model|1|1
000000882|2|0|1|remove|guardian spear|1 model|1|1
000000882|2|1|1|replace|vexilla|1 model|1|1
000000882|2|1|1|add|misericordia|1 model|1|1
000000882|2|1|1|add|praesidium shield|1 model|1|1
000000882|2|1|1|remove|guardian spear|1 model|1|1
000000883|1|0|0|replace|Kheres-pattern assault cannon|||
000000883|1|0|0|remove|multi-melta|||
000000884|1|0|0|add|hunter-killer missile|||
000000884|2|0|1|add|storm bolter|||
000001447|1|0|0|replace|castellan axe|||
000001447|1|0|0|remove|guardian spear|||
000001447|1|1|0|replace|sentinel blade|||
000001447|1|1|0|remove|guardian spear|||
000001447|1|2|0|replace|sentinel blade|||
000001447|1|2|0|add|praesidium shield|||
000001447|1|2|0|remove|guardian spear|||
000001447|1|3|0|replace|pyrithite spear|||
000001447|1|3|0|add|praesidium shield|||
000001447|1|3|0|remove|guardian spear|||
000001448|1|0|0|replace|castellan axe|||
000001448|1|0|0|remove|guardian spear|||
000001449|1|0|0|replace|Vertus hurricane bolter|||
000001449|1|0|0|remove|salvo launcher|||
000001450|1|0|0|replace|castellan axe|any||
000001450|1|0|0|remove|guardian spear|any||
000001450|2|0|1|add|vexilla|1 model|1|1
000001453|1|0|0|replace|castellan axe|any||
000001453|1|0|0|remove|guardian spear|any||
000001453|2|0|1|replace|vexilla|1 model|1|1
000001453|2|0|1|add|misericordia|1 model|1|1
000001453|2|0|1|remove|guardian spear|1 model|1|1
000001454|1|0|0|replace|Vertus hurricane bolter|any||
000001454|1|0|0|remove|salvo launcher|any||
000001458|1|0|0|replace|infernus incinerator|||2
000001458|1|0|0|remove|lastrum storm bolter|||2
000001458|1|1|0|replace|twin adrathic destructor|||2
000001458|1|1|0|remove|lastrum storm bolter|||2
000001458|1|2|0|replace|infernus incinerator|||1
000001458|1|2|0|remove|lastrum storm bolter|||1
000001458|1|3|0|replace|twin adrathic destructor|||1
000001458|1|3|0|remove|lastrum storm bolter|||1
000001458|1|4|0|replace|infernus incinerator|||1
000001458|1|4|0|add|twin adrathic destructor|||1
000001458|1|4|0|remove|lastrum storm bolter|||2
000001460|1|0|0|replace|twin arachnus heavy blaze cannon|||
000001460|1|0|0|remove|twin iliastus accelerator cannon|||
000001479|1|0|0|replace|arachnus storm cannon|||2
000001479|1|0|0|remove|iliastus accelerator culverin|||2
000001479|1|1|0|replace|Telemon caestus|||2
000001479|1|1|0|add|twin plasma projector|||2
000001479|1|1|0|remove|iliastus accelerator culverin|||2
000001479|1|2|0|replace|arachnus storm cannon|||1
000001479|1|2|0|remove|iliastus accelerator culverin|||1
000001479|1|3|0|replace|Telemon caestus|||1
000001479|1|3|0|add|twin plasma projector|||1
000001479|1|3|0|remove|iliastus accelerator culverin|||1
000001479|1|4|0|replace|arachnus storm cannon|||1
000001479|1|4|0|add|Telemon caestus|||1
000001479|1|4|0|add|twin plasma projector|||1
000001479|1|4|0|remove|iliastus accelerator culverin|||2
000001558|1|0|0|replace|infernus firepike|any||
000001558|1|0|0|remove|lastrum storm bolter|any||
000001558|1|1|0|replace|twin adrathic destructor|any||
000001558|1|1|0|remove|lastrum storm bolter|any||
000001558|2|0|1|replace|solerite power talon|any||
000001558|2|0|1|remove|solerite power gauntlet|any||
000001559|1|0|0|replace|pyrithite spear|any||
000001559|1|0|0|remove|adrasite spear|any||
000001560|1|0|0|replace|adrathic devastator|any||
000001560|1|0|0|remove|lastrum bolt cannon|any||
000001560|1|1|0|replace|twin las-pulsar|any||
000001560|1|1|0|remove|lastrum bolt cannon|any||
000001561|1|0|0|replace|kinetic destroyer|any||
000001561|1|0|0|add|tarsis buckler|any||
000001561|1|0|0|remove|Venatari lance|any||
000002520|1|0|0|replace|master-crafted boltgun|||
000002520|1|0|0|add|close combat weapon|||
000002520|1|0|0|remove|executioner greatblade|||
000002520|1|1|0|replace|Witchseeker flamer|||
000002520|1|1|0|add|close combat weapon|||
000002520|1|1|0|remove|executioner greatblade|||
000002524|1|0|0|add|hunter-killer missile|||
000000839|1|0|1|remove|macrostubber||0|1
000000839|1|0|1|add|phosphor serpenta||0|1
000000839|2|0|2|remove|volkite blaster||0|1
000000839|2|0|2|add|eradication ray||0|1
000000841|1|0|1|remove|heavy arc rifle|any|0|0
000000841|1|0|1|add|torsion cannon|any|0|0
000000841|2|0|2|remove|arc claw|any|0|0
000000841|2|0|2|add|hydraulic claw|any|0|0
000000842|1|0|1|remove|heavy grav-cannon|any|0|0
000000842|1|0|1|add|Kataphron plasma culverin|any|0|0
000000842|2|0|2|remove|phosphor blaster|any|0|0
000000842|2|0|2|add|cognis flamer|any|0|0
000000845|1|1|1|remove|twin Kastelan fist|any|0|0
000000845|1|1|1|add|Kastelan phosphor blaster|any|0|0
000000845|1|1|1|add|Kastelan fist|any|0|0
000000845|1|2|2|remove|twin Kastelan fist|any|0|0
000000845|1|2|2|add|twin Kastelan phosphor blaster|any|0|0
000000845|1|2|2|add|close combat weapon|any|0|0
000000845|2|0|3|remove|incendine combustor|any|0|0
000000845|2|0|3|add|heavy phosphor blaster|any|0|0
000000847|1|1|1|remove|Servitor's servo-arm||0|2
000000847|1|1|1|add|heavy bolter||0|2
000000847|1|1|1|add|Servitor's tools||0|2
000000847|1|2|2|remove|Servitor's servo-arm||0|2
000000847|1|2|2|add|multi-melta||0|2
000000847|1|2|2|add|Servitor's tools||0|2
000000847|1|3|3|remove|Servitor's servo-arm||0|2
000000847|1|3|3|add|plasma cannon||0|2
000000847|1|3|3|add|Servitor's tools||0|2
000000848|1|0|1|add|Alpha combat weapon|Skitarii Ranger Alpha|0|1
000000848|2|0|2|remove|galvanic rifle|Skitarii Ranger Alpha|0|1
000000848|2|0|2|add|Mechanicus pistol|Skitarii Ranger Alpha|0|1
000000848|3|0|3|remove|galvanic rifle|Skitarii Ranger|0|1
000000848|3|0|3|add|arc rifle|Skitarii Ranger|0|1
000000848|4|0|4|remove|galvanic rifle|Skitarii Ranger|0|1
000000848|4|0|4|add|plasma caliver|Skitarii Ranger|0|1
000000848|5|0|5|remove|galvanic rifle|Skitarii Ranger|0|1
000000848|5|0|5|add|transuranic arquebus|Skitarii Ranger|0|1
000000848|6|1|6|add|enhanced data-tether|Skitarii Ranger|0|1
000000848|6|2|7|add|omnispex|Skitarii Ranger|0|1
000000849|1|0|1|add|Alpha combat weapon|Skitarii Vanguard Alpha|0|1
000000849|2|0|2|remove|radium carbine|Skitarii Vanguard Alpha|0|1
000000849|2|0|2|add|Mechanicus pistol|Skitarii Vanguard Alpha|0|1
000000849|3|0|3|remove|radium carbine|Skitarii Vanguard|0|1
000000849|3|0|3|add|arc rifle|Skitarii Vanguard|0|1
000000849|4|0|4|remove|radium carbine|Skitarii Vanguard|0|1
000000849|4|0|4|add|plasma caliver|Skitarii Vanguard|0|1
000000849|5|0|5|remove|radium carbine|Skitarii Vanguard|0|1
000000849|5|0|5|add|transuranic arquebus|Skitarii Vanguard|0|1
000000849|6|1|6|add|enhanced data-tether|Skitarii Vanguard|0|1
000000849|6|2|7|add|omnispex|Skitarii Vanguard|0|1
000000850|1|0|1|remove|stubcarbine|any|0|0
000000850|1|0|1|remove|power weapon|any|0|0
000000850|1|0|1|add|flechette blaster|any|0|0
000000850|1|0|1|add|taser goad|any|0|0
000000851|1|0|1|remove|transonic razor and chordclaw|Sicarian Ruststalker|0|0
000000851|1|0|1|add|transonic blades|Sicarian Ruststalker|0|0
000000851|2|0|2|remove|transonic razor and chordclaw|Sicarian Ruststalker Princeps|0|1
000000851|2|0|2|add|transonic blades and chordclaw|Sicarian Ruststalker Princeps|0|1
000000852|1|0|1|remove|twin cognis autocannon|any|0|0
000000852|1|0|1|add|twin cognis lascannon|any|0|0
000000854|1|1|1|remove|eradication beamer||0|1
000000854|1|1|1|add|daedalus missile launcher||0|1
000000854|1|1|1|add|Icarus array||0|1
000000854|1|2|2|remove|eradication beamer||0|1
000000854|1|2|2|add|neutron laser||0|1
000000854|1|2|2|add|cognis heavy stubber||0|1
000000854|1|3|3|remove|eradication beamer||0|1
000000854|1|3|3|add|twin Onager heavy phosphor blaster||0|1
000000854|2|0|4|add|cognis heavy stubber||0|1
000000854|3|0|5|add|broad spectrum data-tether||0|1
000001525|1|0|1|remove|arc lance|Hoplite Alpha|0|1
000001525|1|0|1|add|Archeotech pistol|Hoplite Alpha|0|1
000001525|2|0|2|add|Alpha close combat weapon|Hoplite Alpha|0|1
000001525|3|1|3|add|enhanced data-tether|Secutarii Hoplite|0|1
000001525|3|2|4|add|omnispex|Secutarii Hoplite|0|1
000001526|1|0|1|remove|arc lance|Peltast Alpha|0|1
000001526|1|0|1|add|Archeotech pistol|Peltast Alpha|0|1
000001526|2|0|2|add|Alpha close combat weapon|Peltast Alpha|0|1
000001526|3|1|3|add|enhanced data-tether|Secutarii Peltast|0|1
000001526|3|2|4|add|omnispex|Secutarii Peltast|0|1
000001533|1|1|1|remove|combi-bolter||0|2
000001533|1|1|1|add|heavy flamer||0|2
000001533|1|2|2|remove|combi-bolter||0|2
000001533|1|2|2|add|twin volkite charger||0|2
000001580|1|0|1|remove|magnarail lance||0|1
000001580|1|0|1|add|transonic cannon||0|1
000001651|1|0|1|remove|belleros energy cannon||0|1
000001651|1|0|1|add|ferrumite cannon||0|1
000002081|1|0|1|remove|phosphor pistol|Serberys Sulphurhound|3|0
000002081|1|0|1|remove|phosphor pistol|Serberys Sulphurhound|3|0
000002081|1|0|1|add|phosphor blast carbine|Serberys Sulphurhound|3|0
000002081|1|0|1|add|phosphor pistol|Serberys Sulphurhound|3|0
000002082|1|0|1|add|enhanced data-tether|Serberys Raider|0|1
000002085|1|0|1|remove|command uplink||0|1
000002085|1|0|1|add|chaff launcher||0|1
000002086|1|0|1|remove|command uplink||0|1
000002086|1|0|1|add|chaff launcher||0|1
000002087|1|0|1|remove|command uplink||0|1
000002087|1|0|1|add|chaff launcher||0|1
000003695|1|0|1|remove|radium jezzail||0|1
000003695|1|0|1|add|Skatros transuranic arquebus||0|1
000004119|1|0|1|remove|phosphor blaster|Combat Servitor|0|1
000004119|1|0|1|add|meltagun|Combat Servitor|0|1
000004119|2|0|2|remove|phosphor blaster|Combat Servitor|0|3
000004119|2|0|2|add|incendine igniter|Combat Servitor|0|3
000000577|1|1|1|remove|shuriken pistol|any|0|1
000000577|1|1|1|add|death spinner|any|0|1
000000577|1|2|2|remove|shuriken pistol|any|0|1
000000577|1|2|2|add|Dragon fusion gun|any|0|1
000000577|1|3|3|remove|shuriken pistol|any|0|1
000000577|1|3|3|add|Dragon fusion pistol|any|0|1
000000577|1|4|4|remove|shuriken pistol|any|0|1
000000577|1|4|4|add|Reaper launcher|any|0|1
000000577|2|1|1|remove|star glaive|any|0|1
000000577|2|1|1|add|Banshee blade|any|0|1
000000577|2|2|2|remove|star glaive|any|0|1
000000577|2|2|2|add|Scorpion chainsword|any|0|1
000000580|1|1|1|remove|laser lance|any|0|1
000000580|1|1|1|add|Dragon fusion gun|any|0|1
000000580|1|2|2|remove|laser lance|any|0|1
000000580|1|2|2|add|Banshee blade|any|0|1
000000582|1|0|1|remove|witchblade|any|0|1
000000582|1|0|1|add|singing spear|any|0|1
000000583|1|0|1|remove|witchblade|any|0|1
000000583|1|0|1|add|singing spear|any|0|1
000000584|1|0|1|remove|witchblade|any|0|0
000000584|1|0|1|add|singing spear|any|0|0
000000585|1|0|1|remove|witchblade|any|0|1
000000585|1|0|1|add|singing spear|any|0|1
000000587|1|0|1|remove|witchblade|any|0|0
000000587|1|0|1|add|singing spear|any|0|0
000000589|1|1|1|remove|shuriken cannon|Heavy Weapon Platform|0|1
000000589|1|1|1|add|missile launcher|Heavy Weapon Platform|0|1
000000589|1|2|2|remove|shuriken cannon|Heavy Weapon Platform|0|1
000000589|1|2|2|add|bright lance|Heavy Weapon Platform|0|1
